Bin_Centers, Frequency
-2.608191199229148882e+00,3.665003803124422532e-02
-2.420756744826093154e+00,3.665003803124414206e-02
-2.233322290423037870e+00,2.094287887499670167e-02
-2.045887836019982586e+00,9.947867465623408401e-02
-1.858453381616926858e+00,9.424295493748514885e-02
-1.671018927213871574e+00,8.900723521873586674e-02
-1.483584472810815846e+00,1.151858338124817083e-01
-1.296150018407760562e+00,2.356073873437126154e-01
-1.108715564004704834e+00,1.623073112812242202e-01
-9.212811096016494394e-01,2.094287887499667600e-01
-7.338466551985939335e-01,2.408431070624617587e-01
-5.464122007955385385e-01,3.036717436874521447e-01
-3.589777463924830325e-01,4.031504183436854793e-01
-1.715432919894275265e-01,3.246146225624488291e-01
1.589116241362797943e-02,4.031504183436854793e-01
2.033256168166834854e-01,4.136218577811848207e-01
3.907600712197387693e-01,3.089074634062013436e-01
5.781945256227942753e-01,3.926789789061871927e-01
7.656289800258497813e-01,3.769718197499405954e-01
9.530634344289052873e-01,2.932003042499531364e-01
1.140497888831960793e+00,2.146645084687161809e-01
1.327932343235016299e+00,1.832501901562206825e-01
1.515366797638071805e+00,1.675430309999736134e-01
1.702801252041127089e+00,6.282863662499010848e-02
1.890235706444182373e+00,7.853579578123762173e-02
2.077670160847238101e+00,3.141431831249490159e-02
2.265104615250293829e+00,2.094287887499670167e-02
2.452539069653349113e+00,1.047143943749835084e-02
2.639973524056404397e+00,0.000000000000000000e+00
2.827407978459460125e+00,5.235719718749150264e-03
